"V1","V2","V3","V4","V5"
"lm, ac.gcse.all.3y ~ avg5.tt.nid + ever6fsm.3y + eal.3y + sen.3y + girls.3y + totpups.3y + ks2aps.3y + IDACI + London, iso4all","F(9,2567)","Prob > P","R-Squared","Adj-R2"
"","262.695","0.000","0.479","0.478"
"","","","",""
"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)"," -0.932","  0.081","-11.457","  0.000"
"avg5.tt.nid"," -0.001","  0.000"," -1.178","  0.239"
"ever6fsm.3y"," -0.243","  0.026"," -9.303","  0.000"
"eal.3y","  0.162","  0.016"," 10.341","  0.000"
"sen.3y"," -0.022","  0.122"," -0.181","  0.856"
"girls.3y","  0.074","  0.012","  6.327","  0.000"
"totpups.3y","  0.000","  0.000"," 10.118","  0.000"
"ks2aps.3y","  0.054","  0.003"," 19.368","  0.000"
"IDACI"," -0.118","  0.016"," -7.381","  0.000"
"LondonTRUE","  0.063","  0.006"," 10.723","  0.000"
