URN,P8MEA,P8MEA_FSM6CLA1A
141565,1.37,1.31
140985,1.14,1.16
125275,1.08,1.09
135242,1.08,1.07
100857,0.91,1.06
131895,0.93,1
138220,1.15,0.99
136290,0.7,0.99
135507,0.78,0.98
136795,0.73,0.98
119792,0.28,0.94
132711,0.93,0.93
135587,0.8,0.92
135835,1.02,0.91
136801,0.92,0.88
136287,0.91,0.85
141716,0.74,0.84
138960,0.8,0.83
102775,0.81,0.81
102053,0.66,0.77
135970,0.76,0.76
136997,0.59,0.76
138248,0.93,0.73
136418,0.79,0.73
140188,0.68,0.72
118111,0.79,0.71
133724,0.45,0.71
130912,0.74,0.7
136882,0.73,0.7
136910,0.65,0.68
111751,0.6,0.68
135675,0.8,0.67
136669,0.7,0.67
137121,0.7,0.67
100458,0.65,0.67
135096,0.75,0.66
131262,0.68,0.66
139365,0.71,0.65
137789,0.7,0.65
134693,0.78,0.64
102683,0.76,0.64
136789,0.7,0.64
102539,0.66,0.64
136295,0.57,0.64
137002,0.53,0.64
135747,0.47,0.64
137267,0.41,0.64
137178,0.7,0.63
136313,0.68,0.63
137078,0.38,0.63
131897,0.55,0.62
138495,0.67,0.61
136420,0.65,0.61
139823,0.63,0.61
141370,0.69,0.6
137338,0.49,0.6
138457,0.67,0.59
136798,0.66,0.58
140248,0.65,0.58
101364,0.46,0.58
102857,0.62,0.55
140864,0.61,0.55
136315,0.4,0.55
138835,0.29,0.55
136450,0.55,0.54
125738,0.54,0.54
139711,0.52,0.54
102852,0.73,0.53
137045,0.58,0.53
137800,0.14,0.53
140294,0.62,0.52
140992,0.46,0.52
102856,0.42,0.52
137549,0.75,0.51
100638,0.67,0.51
138098,0.52,0.51
137635,0.44,0.51
137726,0.44,0.51
103080,0.59,0.5
136621,0.58,0.5
140134,0.56,0.5
138336,0.54,0.5
136778,0.4,0.5
126066,0.65,0.49
103103,0.63,0.49
108420,0.51,0.49
102778,0.47,0.49
136522,0.42,0.49
136962,0.64,0.48
102239,0.63,0.48
136126,0.6,0.48
136308,0.57,0.48
103096,0.53,0.48
136341,0.52,0.48
101365,0.49,0.48
137299,0.39,0.48
140007,0.37,0.48
136506,0.5,0.47
141063,0.78,0.46
136711,0.58,0.46
138375,0.51,0.46
135316,0.48,0.46
138141,0.39,0.46
133306,0.6,0.45
139906,0.58,0.45
139517,0.52,0.45
136292,0.48,0.45
108057,0.47,0.45
135423,0.42,0.44
137259,0.42,0.44
137730,0.4,0.44
138483,0.36,0.44
136443,0.3,0.44
106368,0.28,0.44
138084,0.7,0.43
133708,0.62,0.43
103013,0.51,0.43
136319,0.51,0.43
136603,0.51,0.43
137848,0.49,0.43
137531,0.43,0.43
136656,0.37,0.43
113502,0.36,0.43
137769,0.35,0.43
125311,0.73,0.42
138461,0.67,0.42
137424,0.48,0.42
138247,0.43,0.42
116507,0.59,0.41
139075,0.48,0.41
101814,0.45,0.41
136267,0.45,0.41
102785,0.42,0.41
138449,0.36,0.41
102545,0.56,0.4
101154,0.47,0.4
137353,0.44,0.4
139047,0.43,0.4
137759,0.42,0.4
136538,0.32,0.4
139624,0.66,0.39
138729,0.65,0.39
136582,0.62,0.39
138370,0.61,0.39
136667,0.59,0.39
139293,0.59,0.39
135816,0.53,0.39
137694,0.45,0.39
137204,0.42,0.39
139616,0.42,0.39
135364,0.2,0.39
137834,0.07,0.39
140786,0.69,0.38
138582,0.66,0.38
118117,0.59,0.38
136633,0.52,0.38
101940,0.45,0.38
103498,0.45,0.38
103501,0.44,0.38
103742,0.39,0.38
137757,0.31,0.38
138006,0.29,0.38
137287,0.28,0.38
136651,0.58,0.37
106376,0.54,0.37
140646,0.54,0.37
102782,0.52,0.37
138313,0.48,0.37
132219,0.47,0.37
140475,0.47,0.37
100193,0.43,0.37
123627,0.4,0.37
100973,0.38,0.37
138476,0.38,0.37
109707,0.33,0.37
136634,0.6,0.36
137312,0.52,0.36
137412,0.51,0.36
139992,0.5,0.36
103105,0.49,0.36
137199,0.47,0.36
100457,0.41,0.36
100455,0.4,0.36
139703,0.4,0.36
141683,0.37,0.36
118928,0.34,0.36
141668,0.34,0.36
136152,0.31,0.36
103549,0.22,0.36
136272,0.66,0.35
136880,0.6,0.35
123883,0.49,0.35
120298,0.48,0.35
115237,0.43,0.35
136085,0.41,0.35
100637,0.39,0.35
135531,0.38,0.35
102599,0.36,0.35
112054,0.36,0.35
137166,0.35,0.35
137708,0.34,0.35
135676,0.32,0.35
131690,0.3,0.35
100972,0.29,0.35
124399,0.56,0.34
141495,0.53,0.34
137837,0.51,0.34
136783,0.5,0.34
137681,0.49,0.34
141196,0.49,0.34
100975,0.41,0.34
139144,0.36,0.34
136996,0.29,0.34
102861,0.54,0.33
109669,0.49,0.33
136194,0.49,0.33
136631,0.44,0.33
101941,0.41,0.33
136960,0.4,0.33
100970,0.39,0.33
137131,0.38,0.33
135563,0.31,0.33
137047,0.31,0.33
116505,0.49,0.32
138470,0.37,0.32
137572,0.31,0.32
137034,0.3,0.32
137474,0.28,0.32
136497,0.65,0.31
125276,0.59,0.31
136335,0.55,0.31
137843,0.5,0.31
141163,0.46,0.31
137308,0.42,0.31
104956,0.41,0.31
136637,0.41,0.31
136675,0.39,0.31
135959,0.36,0.31
137043,0.25,0.31
133580,0.2,0.31
136388,0.14,0.31
136474,0.61,0.3
101361,0.57,0.3
138610,0.55,0.3
116450,0.46,0.3
136863,0.39,0.3
137340,0.39,0.3
133386,0.32,0.3
100974,0.3,0.3
138609,0.29,0.3
131062,0.28,0.3
137009,0.2,0.3
116992,0.65,0.29
121715,0.63,0.29
136368,0.55,0.29
136322,0.54,0.29
105560,0.52,0.29
137745,0.49,0.29
117504,0.47,0.29
139856,0.39,0.29
114313,0.38,0.29
136521,0.35,0.29
136115,0.33,0.29
138505,0.33,0.29
140821,0.33,0.29
102777,0.31,0.29
101247,0.3,0.29
105355,0.25,0.29
138757,-0.03,0.29
136442,0.5,0.28
139989,0.49,0.28
140008,0.49,0.28
133287,0.48,0.28
137277,0.47,0.28
101563,0.45,0.28
136914,0.43,0.28
141931,0.43,0.28
139714,0.39,0.28
137200,0.36,0.28
103560,0.35,0.28
118806,0.33,0.28
120642,0.24,0.28
135631,0.22,0.28
136891,0.64,0.27
137339,0.61,0.27
120282,0.48,0.27
137900,0.46,0.27
137383,0.37,0.27
138087,0.37,0.27
106950,0.35,0.27
137781,0.33,0.27
138361,0.31,0.27
100968,0.29,0.27
137058,0.13,0.27
137995,0.75,0.26
136609,0.58,0.26
110049,0.51,0.26
139031,0.45,0.26
136530,0.35,0.26
103514,0.34,0.26
101244,0.27,0.26
118103,0.26,0.26
137703,0.21,0.26
139138,0.44,0.25
137171,0.42,0.25
101930,0.39,0.25
137296,0.36,0.25
125312,0.34,0.25
114317,0.32,0.25
136327,0.29,0.25
101934,0.65,0.24
137826,0.64,0.24
103531,0.51,0.24
137829,0.48,0.24
137396,0.43,0.24
137465,0.41,0.24
137213,0.39,0.24
138106,0.36,0.24
137685,0.35,0.24
101928,0.34,0.24
137005,0.34,0.24
110899,0.33,0.24
135934,0.32,0.24
136456,0.3,0.24
137578,0.29,0.24
105354,0.28,0.24
135965,0.28,0.24
136261,0.26,0.24
140941,0.22,0.24
118081,0.21,0.24
137389,0.19,0.24
136662,0.16,0.24
141300,0.06,0.24
137288,0.6,0.23
124861,0.58,0.23
136398,0.55,0.23
138841,0.48,0.23
100282,0.47,0.23
108641,0.46,0.23
110907,0.46,0.23
136311,0.39,0.23
134814,0.37,0.23
110084,0.36,0.23
117534,0.32,0.23
103100,0.31,0.23
137184,0.31,0.23
140069,0.3,0.23
137645,0.29,0.23
137877,0.29,0.23
136625,0.26,0.23
136864,0.24,0.23
140553,0.24,0.23
138012,0.16,0.23
134225,0.15,0.23
136358,0.44,0.22
106142,0.4,0.22
137814,0.39,0.22
136484,0.38,0.22
134798,0.37,0.22
137976,0.36,0.22
136850,0.31,0.22
136286,0.29,0.22
138743,0.57,0.21
137577,0.56,0.21
124415,0.52,0.21
137157,0.47,0.21
136289,0.46,0.21
119759,0.43,0.21
135249,0.43,0.21
137418,0.43,0.21
136392,0.41,0.21
137282,0.41,0.21
138134,0.34,0.21
135600,0.32,0.21
142262,0.28,0.21
119814,0.26,0.21
102155,0.25,0.21
102058,0.19,0.21
138834,0.1,0.21
126068,0.55,0.2
140537,0.53,0.2
136572,0.52,0.2
101823,0.47,0.2
137376,0.45,0.2
105264,0.41,0.2
112058,0.41,0.2
136647,0.41,0.2
136028,0.35,0.2
136277,0.35,0.2
112039,0.32,0.2
136299,0.27,0.2
136770,0.25,0.2
139068,0.24,0.2
138695,0.22,0.2
100460,0.2,0.2
136578,0.16,0.2
139351,0.11,0.2
136186,0.1,0.2
136463,0.53,0.19
137767,0.43,0.19
140081,0.43,0.19
110051,0.41,0.19
106531,0.37,0.19
140364,0.37,0.19
137628,0.32,0.19
139063,0.31,0.19
103098,0.28,0.19
102050,0.27,0.19
138865,0.26,0.19
135907,0.22,0.19
